Player_id,FirstName,Initial,MiddleName,LastName,FullName,DateOfBirth,MI_knvb-nummer,MI_Player_id,IN_Player_id,MI_PlayerPreferredLeg,MI_Keeper,IN_PlayerRole,IN_PlayerMaxHeartbeat,MaxSpeed_WD,IN_Shirtnumber,CAT_Player_id,Polar_Player_id,Image,Ortec_Player_id,PSD_Player_id,Office_displayname,Email,LoadDateTime
1171,Mariann,P,Say,Setter,Say Setter,4/29/2007,951,399,1748,1,1814,184,166,25,22,226,256,false,1209,1040,Say Setter,ssetter0@webnode.com,5:50:06
510,Nikola,F,Zacherie,Colleer,Zacherie Colleer,2/13/2003,8,1022,1153,1,261,796,87,29,40,1538,1717,false,1645,715,Zacherie Colleer,zcolleer1@telegraph.co.uk,20:04:29
147,Arney,A,Stacy,Ollier,Stacy Ollier,1/30/1993,1707,1800,1417,2,60,1640,84,33,79,1611,75,true,1455,1244,Stacy Ollier,sollier2@google.it,7:26:15
1511,Cathy,V,Stanislas,Kirdsch,Stanislas Kirdsch,5/10/2006,766,1871,278,1,1690,1898,97,32,84,1358,996,false,110,1368,Stanislas Kirdsch,skirdsch3@netscape.com,7:02:34
939,Almire,Z,Sholom,Jambrozek,Sholom Jambrozek,8/29/1997,39,268,1624,1,1080,438,218,21,5,1367,803,false,543,1685,Sholom Jambrozek,sjambrozek4@theguardian.com,8:28:11
567,Nappy,N,Frasier,Wakeling,Frasier Wakeling,9/23/2011,1080,1954,1201,1,1773,1879,111,33,4,994,1073,false,172,1570,Frasier Wakeling,fwakeling5@amazon.co.jp,5:28:06
854,Zabrina,S,Lilly,Chapiro,Lilly Chapiro,8/4/1991,981,1503,1996,1,5,1943,201,50,11,293,1245,true,1331,492,Lilly Chapiro,lchapiro6@jimdo.com,7:44:09
1658,Guthrie,K,Stafford,Mowle,Stafford Mowle,6/20/1992,1991,235,1267,2,689,394,73,30,9,1143,976,false,1760,303,Stafford Mowle,smowle7@amazon.com,12:56:06
712,Liana,F,Mycah,Debrick,Mycah Debrick,8/27/2003,1660,1787,1456,1,959,1527,193,15,88,374,371,true,1021,1048,Mycah Debrick,mdebrick8@netvibes.com,11:10:03
79,Meggie,C,Ezri,Nerval,Ezri Nerval,9/14/1999,612,1293,1559,2,1404,1102,115,32,51,292,685,true,957,1598,Ezri Nerval,enerval9@boston.com,4:05:49
461,Merry,K,Cozmo,Pedrocco,Cozmo Pedrocco,10/10/2001,799,411,519,2,521,1113,128,10,13,1565,223,true,1010,174,Cozmo Pedrocco,cpedroccoa@yahoo.co.jp,1:14:47
1136,Hollyanne,F,Sibel,Congram,Sibel Congram,9/23/1996,527,1868,987,2,1134,904,109,27,30,461,1931,false,1210,1129,Sibel Congram,scongramb@addthis.com,10:43:07
1023,Monti,P,Deidre,McWhinnie,Deidre McWhinnie,5/6/2011,831,165,1658,2,1493,444,88,17,92,767,1125,false,222,145,Deidre McWhinnie,dmcwhinniec@g.co,8:45:27
